text,intent,domain,split,in_scope
what are the sorts of things i can ask you about,what_can_i_ask_you,small_talk,train,True
what questions are you programmed to answer,what_can_i_ask_you,small_talk,train,True
what kinds of things can i ask you,what_can_i_ask_you,small_talk,train,True
what kinds of questions can i ask of you,what_can_i_ask_you,small_talk,train,True
are there certain types of questions i can ask you,what_can_i_ask_you,small_talk,train,True
what kinds of things would you be able to help me with,what_can_i_ask_you,small_talk,train,True
i need to know what kind of things you can help with,what_can_i_ask_you,small_talk,train,True
i want to know what sort of things you can assist me with,what_can_i_ask_you,small_talk,train,True
what sort of things are you able to help with,what_can_i_ask_you,small_talk,train,True
let me know what you can assist me with,what_can_i_ask_you,small_talk,train,True
how can i benefit from using you,what_can_i_ask_you,small_talk,train,True
how can you assist me,what_can_i_ask_you,small_talk,train,True
i wanna know the types of subjects are you familiar with,what_can_i_ask_you,small_talk,train,True
i wish to know the types of subjects are you familiar with,what_can_i_ask_you,small_talk,train,True
please inform me of the types of subjects are you familiar with,what_can_i_ask_you,small_talk,train,True
what can you be asked about,what_can_i_ask_you,small_talk,train,True
tell me the types of subjects are you familiar with,what_can_i_ask_you,small_talk,train,True
i would like to know the types of subjects are you familiar with,what_can_i_ask_you,small_talk,train,True
what can i ask you all about,what_can_i_ask_you,small_talk,train,True
are you familiar with any types of subjects,what_can_i_ask_you,small_talk,train,True
what skills do you have,what_can_i_ask_you,small_talk,train,True
what are your capabilities,what_can_i_ask_you,small_talk,train,True
what topics are you versed in,what_can_i_ask_you,small_talk,train,True
what sort of stuff do you know,what_can_i_ask_you,small_talk,train,True
what subjects do you know well,what_can_i_ask_you,small_talk,train,True
what can i ask you to accomplish,what_can_i_ask_you,small_talk,train,True
what tasks can you complete for me,what_can_i_ask_you,small_talk,train,True
what type of questions are you partial to that i can ask you,what_can_i_ask_you,small_talk,train,True
i don't know the answer,maybe,meta,train,True
i'm unsure,maybe,meta,train,True
shit if i know,maybe,meta,train,True
no idea,maybe,meta,train,True
hell if i know,maybe,meta,train,True
either or should work,maybe,meta,train,True
i dont know,maybe,meta,train,True
both would work,maybe,meta,train,True
it could be one or the other,maybe,meta,train,True
i dont have an answer for that,maybe,meta,train,True
not a clue,maybe,meta,train,True
who knows,maybe,meta,train,True
it could be either,maybe,meta,train,True
"sorry, i do not know",maybe,meta,train,True
i'm unsure of the proper answer,maybe,meta,train,True
i do not know that,maybe,meta,train,True
"maybe one, maybe the other",maybe,meta,train,True
"maybe, maybe not",maybe,meta,train,True
it might be either one,maybe,meta,train,True
perhaps either of them,maybe,meta,train,True
i don't know how to answer to that,maybe,meta,train,True
maybe either,maybe,meta,train,True
i dunno,maybe,meta,train,True
"maybe yes, maybe no",maybe,meta,train,True
"might be true, might be false",maybe,meta,train,True
possibly,maybe,meta,train,True
it depends,maybe,meta,train,True
i'm not sure what the answer is,maybe,meta,train,True
i will know later,maybe,meta,train,True
maybe,maybe,meta,train,True
"one or the other, or both",maybe,meta,train,True
no clue,maybe,meta,train,True
i am not to sure about that,maybe,meta,train,True
either one would work,maybe,meta,train,True
i really don't know,maybe,meta,train,True
i am not confident on that,maybe,meta,train,True
that i don't know,maybe,meta,train,True
both maybe,maybe,meta,train,True
i think it could be both,maybe,meta,train,True
i don't know for sure,maybe,meta,train,True
cant say,maybe,meta,train,True
im not certain,maybe,meta,train,True
im not sure,maybe,meta,train,True
really dont know,maybe,meta,train,True
i'm unsure of the answer,maybe,meta,train,True
it could be possible,maybe,meta,train,True
i can't answer yes or no right now,maybe,meta,train,True
i can't answer that,maybe,meta,train,True
i don't know the answer to that,maybe,meta,train,True
i'm not sure,maybe,meta,train,True
i can't decide,maybe,meta,train,True
i can't tell,maybe,meta,train,True
i'll have to think about it,maybe,meta,train,True
not sure if that's a yes or a no,maybe,meta,train,True
not quite sure how to respond,maybe,meta,train,True
i'm torn on how to answer,maybe,meta,train,True
"not sure, maybe",maybe,meta,train,True
that could maybe be it,maybe,meta,train,True
i have no earthly idea at all,maybe,meta,train,True
it may be either one,maybe,meta,train,True
i don't have that information,maybe,meta,train,True
i can't make up my mind,maybe,meta,train,True
it's either of them,maybe,meta,train,True
i don't have the answer,maybe,meta,train,True
sorry no idea,maybe,meta,train,True
it could be that one or the other one,maybe,meta,train,True
i'm not sure which one because it could be either of them,maybe,meta,train,True
i'm drawing a blank,maybe,meta,train,True
i have no knowledge about it,maybe,meta,train,True
"no idea, sorry",maybe,meta,train,True
i'm not sure which it is,maybe,meta,train,True
i'm really not sure,maybe,meta,train,True
i'm uncertain,maybe,meta,train,True
i'm unaware of that,maybe,meta,train,True
i have no knowledge of that,maybe,meta,train,True
i am thinking it is either,maybe,meta,train,True
"hmmm, either could be a choice",maybe,meta,train,True
i'm sure it could be either,maybe,meta,train,True
"well, i guess maybe",maybe,meta,train,True
maybe is my answer,maybe,meta,train,True
i know it could be either one,maybe,meta,train,True
maybe is what i am going to answer,maybe,meta,train,True
"hmm, either",maybe,meta,train,True
i'm pretty sure it could be either,maybe,meta,train,True
i have no clue,maybe,meta,train,True
it might be either,maybe,meta,train,True
i don't know anything about that,maybe,meta,train,True
it's possible that it could be either,maybe,meta,train,True
i don't have a clue,maybe,meta,train,True
"it could be either, i think",maybe,meta,train,True
i think it could be either one,maybe,meta,train,True
i don't really know,maybe,meta,train,True
i'm not sure of that,maybe,meta,train,True
that's a possibility,maybe,meta,train,True
how is the weather today,maybe,meta,train,True
i haven't a clue,maybe,meta,train,True
i haven't the foggiest,maybe,meta,train,True
that answer's above my pay scale,maybe,meta,train,True
i really don't have a clue,maybe,meta,train,True
i have no idea,maybe,meta,train,True
how do i change a car's oil,oil_change_how,auto_and_commute,train,True
can you find instructions on how to change oil in a car,oil_change_how,auto_and_commute,train,True
what do i need to change my oil,oil_change_how,auto_and_commute,train,True
how do i change the oil in a car,oil_change_how,auto_and_commute,train,True
how do i change the oil in my passat,oil_change_how,auto_and_commute,train,True
please tell me how to change the oil in my car,oil_change_how,auto_and_commute,train,True
tell me how to change the oil in 2014 odyssey,oil_change_how,auto_and_commute,train,True
find instructions for how to change the oil in a 2015 passat,oil_change_how,auto_and_commute,train,True
give me instructions for changing the oil in a 2015 passat,oil_change_how,auto_and_commute,train,True
do i need to go under the car to change oil,oil_change_how,auto_and_commute,train,True
what way can i change oil at home,oil_change_how,auto_and_commute,train,True
how do i switch out my oil,oil_change_how,auto_and_commute,train,True
what is the way to change motor oil,oil_change_how,auto_and_commute,train,True
i need step by step instructions on how to change the oil in my car,oil_change_how,auto_and_commute,train,True
what kind of oil do i need to change the oil in my car,oil_change_how,auto_and_commute,train,True
give me instructions on how to change the oil in my car,oil_change_how,auto_and_commute,train,True
can you tell me the steps to change the oil in my car,oil_change_how,auto_and_commute,train,True
is it easy to change the oil in my car,oil_change_how,auto_and_commute,train,True
how do i change the oil in my car,oil_change_how,auto_and_commute,train,True
can you tell me how to change the oil in my car,oil_change_how,auto_and_commute,train,True
do i need any tools to change the oil in my car,oil_change_how,auto_and_commute,train,True
what do i need to change the oil in my car,oil_change_how,auto_and_commute,train,True
please explain the steps to change oil,oil_change_how,auto_and_commute,train,True
i want to change the oil in my car,oil_change_how,auto_and_commute,train,True
do you know how to change car oil,oil_change_how,auto_and_commute,train,True
can you show me how to change the oil for my car,oil_change_how,auto_and_commute,train,True
search for how to change my oil,oil_change_how,auto_and_commute,train,True
i need to know how to change my oil,oil_change_how,auto_and_commute,train,True
find instructions on how to change my oil,oil_change_how,auto_and_commute,train,True
show me how to change my oil,oil_change_how,auto_and_commute,train,True
what oil should i use and how do i change it,oil_change_how,auto_and_commute,train,True
how do i change my oil with the correct type,oil_change_how,auto_and_commute,train,True
what oil do i need and how is it changed,oil_change_how,auto_and_commute,train,True
how do i change my oil and choose the right oil,oil_change_how,auto_and_commute,train,True
how do i choose the correct oil and how do i change it,oil_change_how,auto_and_commute,train,True
teach me how to change my oil,oil_change_how,auto_and_commute,train,True
i want a lesson on changing my oil,oil_change_how,auto_and_commute,train,True
give me instructions on how to change my oil,oil_change_how,auto_and_commute,train,True
i would like to know how to perform an oil change,oil_change_how,auto_and_commute,train,True
i intend to learn how to change oil,oil_change_how,auto_and_commute,train,True
i intend to learn how to change oil in my car,oil_change_how,auto_and_commute,train,True
i want manual on how to change oil,oil_change_how,auto_and_commute,train,True
give me manual on how to change oil,oil_change_how,auto_and_commute,train,True
i want to learn the process of changing oil,oil_change_how,auto_and_commute,train,True
i want to learn to change oil,oil_change_how,auto_and_commute,train,True
what is the way i can change my oil,oil_change_how,auto_and_commute,train,True
i want to practive changing oil,oil_change_how,auto_and_commute,train,True
get me instruction to change oil,oil_change_how,auto_and_commute,train,True
give me instruction mannual on how to change oil,oil_change_how,auto_and_commute,train,True
what kind of oil does my car take and how do i do a change,oil_change_how,auto_and_commute,train,True
"can you assist with an oil change, and what type of oil do i get",oil_change_how,auto_and_commute,train,True
"i want to change my oil if you can tell me what to do, and what kind do i get",oil_change_how,auto_and_commute,train,True
i should use what kind of oil and can you help me change it,oil_change_how,auto_and_commute,train,True
how do i do an oil change and what type do i use,oil_change_how,auto_and_commute,train,True
how do i change the oil for my car,oil_change_how,auto_and_commute,train,True
what do i do to change my car's oil,oil_change_how,auto_and_commute,train,True
can you give me instructions on how to change the oil for my car,oil_change_how,auto_and_commute,train,True
can you tell me how to change my car's oil,oil_change_how,auto_and_commute,train,True
what steps do i take to change the oil for my car,oil_change_how,auto_and_commute,train,True
i need to know how to change my car's oil,oil_change_how,auto_and_commute,train,True
tell me the procedure for changing oil in a car,oil_change_how,auto_and_commute,train,True
what actions do i take to change a car's oil,oil_change_how,auto_and_commute,train,True
how do i go about changing the oil in my car,oil_change_how,auto_and_commute,train,True
what are the steps to change the oil in my car,oil_change_how,auto_and_commute,train,True
what kind of oil do i need to use for my car,oil_change_how,auto_and_commute,train,True
how can i change my car oil,oil_change_how,auto_and_commute,train,True
how do i change my oil and what kind do i need,oil_change_how,auto_and_commute,train,True
how can my oil be changed in my car,oil_change_how,auto_and_commute,train,True
what kind of oil should i use for my current car,oil_change_how,auto_and_commute,train,True
how do i change my car oil,oil_change_how,auto_and_commute,train,True
how can i change my oil for my car,oil_change_how,auto_and_commute,train,True
how will i change my car's oil,oil_change_how,auto_and_commute,train,True
what kind of oil do i need to get and use for my car,oil_change_how,auto_and_commute,train,True
what is needed to change my oil,oil_change_how,auto_and_commute,train,True
how can i change my oil in my car,oil_change_how,auto_and_commute,train,True
"i need to change my oil, how do i",oil_change_how,auto_and_commute,train,True
"tell me how to change my car's oil, and what type of oil i should buy",oil_change_how,auto_and_commute,train,True
"what kinds of oil can i use in my car, and how to i change the oil",oil_change_how,auto_and_commute,train,True
i need instructions on how to change my car's oil and what type i should buy,oil_change_how,auto_and_commute,train,True
i need to change my oil and have no idea how to do it,oil_change_how,auto_and_commute,train,True
"can you tell me how to change my car's oil, and what type i need to buy",oil_change_how,auto_and_commute,train,True
i don't know how to change my oil or what type i need,oil_change_how,auto_and_commute,train,True
i'm due for an oil change and need assistance doing it and also need to know what kind of oil the car takes,oil_change_how,auto_and_commute,train,True
i can't change my oil and don't know what kind i need,oil_change_how,auto_and_commute,train,True
help me change my oil and what kind do i need,oil_change_how,auto_and_commute,train,True
how do i change my oil out and what kind should i use,oil_change_how,auto_and_commute,train,True
can you show me how to change the oil in my car,oil_change_how,auto_and_commute,train,True
i want to learn how to change the oil in my car,oil_change_how,auto_and_commute,train,True
what are the steps i need to do to change the oil in my car,oil_change_how,auto_and_commute,train,True
teach me how to change the oil in my vehicle,oil_change_how,auto_and_commute,train,True
give me instructions to change my oil,oil_change_how,auto_and_commute,train,True
steps to change car oil,oil_change_how,auto_and_commute,train,True
how should i prepare to change my own oil,oil_change_how,auto_and_commute,train,True
how do you change car oil,oil_change_how,auto_and_commute,train,True
how easy is it to change your own oil,oil_change_how,auto_and_commute,train,True
please show me instructions on how to change my oil,oil_change_how,auto_and_commute,train,True
what do i need in order to change my oil,oil_change_how,auto_and_commute,train,True
what are the procedures for changing my oil,oil_change_how,auto_and_commute,train,True
tell me what to do to change the oil in a subaru,oil_change_how,auto_and_commute,train,True
walk me through changing the oil on a tesla,oil_change_how,auto_and_commute,train,True
"you need to call the melt in lakewood for a table for at 2:00, monday, the first week in march",restaurant_reservation,kitchen_and_dining,train,True
"hey computer, make a reservation for 2 for my parents at red lobster on wednseday next, 2:00pm if possible",restaurant_reservation,kitchen_and_dining,train,True
"i think we should reserve dad's regular table friday for 6 people, use his name, make that close to 4:00 pm at the club",restaurant_reservation,kitchen_and_dining,train,True
"listen i need to get a reservation for , me and teresa at georgetown cafe on tuesday at 7:00 pm",restaurant_reservation,kitchen_and_dining,train,True
can you make me a reservation for 4 pm on the 22nd at ruth's,restaurant_reservation,kitchen_and_dining,train,True
i need a reservation at 8 on the 22nd of november at ruth's,restaurant_reservation,kitchen_and_dining,train,True
can i make a reservation for 6 pm on the 21st at sidetracks,restaurant_reservation,kitchen_and_dining,train,True
please reserve me a table at hell's kitchen on may 3rd at 8 pm,restaurant_reservation,kitchen_and_dining,train,True
please reserve me a table for 2 pm at maxwell's on the 14th,restaurant_reservation,kitchen_and_dining,train,True
can you make a reservation for me at the restaurant,restaurant_reservation,kitchen_and_dining,train,True
can you make a reservation at the restaurant for tomorrow,restaurant_reservation,kitchen_and_dining,train,True
can you book a table at the restaurant for me and my husband,restaurant_reservation,kitchen_and_dining,train,True
can you make a reservation at the restaurant for tonight,restaurant_reservation,kitchen_and_dining,train,True
can you get me a table for 6 at mark's at 11am,restaurant_reservation,kitchen_and_dining,train,True
can you get me a table for 1 at the vega at 1pm,restaurant_reservation,kitchen_and_dining,train,True
can you get a table for 5 at joe's at 5pm,restaurant_reservation,kitchen_and_dining,train,True
can you get me a table for 3 at captain d's at 2pm,restaurant_reservation,kitchen_and_dining,train,True
can you get me a table for 2 at mexico viejo at 3pm,restaurant_reservation,kitchen_and_dining,train,True
can you get me a table for 2 at diablo,restaurant_reservation,kitchen_and_dining,train,True
can you get me a table for 5 at johnnys,restaurant_reservation,kitchen_and_dining,train,True
can you get me a table for 8 at johnnys,restaurant_reservation,kitchen_and_dining,train,True
can you get me a table for 6 at johnnys,restaurant_reservation,kitchen_and_dining,train,True
can you get me a table for 4 at steve's,restaurant_reservation,kitchen_and_dining,train,True
reserve a table for 3 at outback steakhouse under the name lance at 7:00pm,restaurant_reservation,kitchen_and_dining,train,True
reserve a table for 4 at red lobster under the name dave at 7:30pm,restaurant_reservation,kitchen_and_dining,train,True
reserve a table for 6 at morton's under the name jaime at 8:30pm,restaurant_reservation,kitchen_and_dining,train,True
can you get me a table for 3 at olive garden at 7pm,restaurant_reservation,kitchen_and_dining,train,True
book a reservation for 6 at shakey's under the name jason,restaurant_reservation,kitchen_and_dining,train,True
reserve a table for 5 at lawry's under the name steve at 8:00pm,restaurant_reservation,kitchen_and_dining,train,True
book a reservation for 5 at lawry's under the name chris,restaurant_reservation,kitchen_and_dining,train,True
reserve a table for 2 at olive garden under the name jim at 6:00pm,restaurant_reservation,kitchen_and_dining,train,True
book a reservation for 4 at outback steakhouse under the name dave,restaurant_reservation,kitchen_and_dining,train,True
can you get me a table for 5 at outback steakhouse at 6:30pm,restaurant_reservation,kitchen_and_dining,train,True
book a reservation for 3 at red lobster under the name steve,restaurant_reservation,kitchen_and_dining,train,True
book a reservation for 2 at olive garden under the name jim,restaurant_reservation,kitchen_and_dining,train,True
can you get me a table for 8 at mastro's at 8:30pm,restaurant_reservation,kitchen_and_dining,train,True
can you get me a table for 4 at red lobster at 8pm,restaurant_reservation,kitchen_and_dining,train,True
can you get me a table for 6 at lawry's at 7:30pm,restaurant_reservation,kitchen_and_dining,train,True
is it possible to get a table for 4 at the village inn around 10am,restaurant_reservation,kitchen_and_dining,train,True
can you get me a table for 5 at mcdonalds at 5pm,restaurant_reservation,kitchen_and_dining,train,True
give me a table for 3 at o'reilly's bar for 7 please,restaurant_reservation,kitchen_and_dining,train,True
can i have a table held at the outback steakhouse for johnson at 5,restaurant_reservation,kitchen_and_dining,train,True
is it possible to book a room at the taco bell for reavers at 3,restaurant_reservation,kitchen_and_dining,train,True
i'd like to set up a reservation for kibble at 4,restaurant_reservation,kitchen_and_dining,train,True
can i reserve a table for 2 at the olive garden at 8,restaurant_reservation,kitchen_and_dining,train,True
i want to reserve a table at 8 at long john silver's under the name freddie,restaurant_reservation,kitchen_and_dining,train,True
i want to have a table for 2 at the broadmore around 6,restaurant_reservation,kitchen_and_dining,train,True
i need an 8 o'clock reservation at pizza hut for the last name mercury,restaurant_reservation,kitchen_and_dining,train,True
"hey, i need to make a reservation for three at umi, six pm on february 30th",restaurant_reservation,kitchen_and_dining,train,True
"hello, i'd like a reservation for two at the olive garden at six tonight",restaurant_reservation,kitchen_and_dining,train,True
can you set me up for a reservation for five at outback steakhouse on february 28th at seven pm,restaurant_reservation,kitchen_and_dining,train,True
"i need a reservation for one at applebee's, four in the afternoon on march 3rd",restaurant_reservation,kitchen_and_dining,train,True
"please make a reservation for me: party of two, february 22nd at chili's, two in the afternoon",restaurant_reservation,kitchen_and_dining,train,True
i gotta make a reservation for 8 pm at red robin for 3,restaurant_reservation,kitchen_and_dining,train,True
can i make a reservation for 8 pm at red robin for 3,restaurant_reservation,kitchen_and_dining,train,True
please book a reservation for 8 pm at red robin under the name kevin,restaurant_reservation,kitchen_and_dining,train,True
i want you to book a reservation for 8 pm at red robin under the name kevin,restaurant_reservation,kitchen_and_dining,train,True
you have to reserve a table for 4 at red robin under the name kevin at 7,restaurant_reservation,kitchen_and_dining,train,True
please reserve a table for 4 at red robin under the name kevin at 7,restaurant_reservation,kitchen_and_dining,train,True
i need you to reserve a table for 4 at red robin under the name kevin at 7,restaurant_reservation,kitchen_and_dining,train,True
reserve a table for 4 at red robin under the name kevin at 7,restaurant_reservation,kitchen_and_dining,train,True
i want to make a reservation for 8 pm at red robin for 3,restaurant_reservation,kitchen_and_dining,train,True
you must reserve a table for 4 at red robin under the name kevin at 7,restaurant_reservation,kitchen_and_dining,train,True
i think i need to make a reservation for 8 pm at red robin for 3,restaurant_reservation,kitchen_and_dining,train,True
i need you to book a reservation for 8 pm at red robin under the name kevin,restaurant_reservation,kitchen_and_dining,train,True
go ahead and book a reservation for 8 pm at red robin under the name kevin,restaurant_reservation,kitchen_and_dining,train,True
i need to make a reservation for 8 pm at red robin for 3,restaurant_reservation,kitchen_and_dining,train,True
book a reservation for 8 pm at red robin under the name kevin,restaurant_reservation,kitchen_and_dining,train,True
would you please make a reservation for 2 at olive garden for 5 pm today,restaurant_reservation,kitchen_and_dining,train,True
i'd like a reservation for 2 at olive garden for 5 pm today,restaurant_reservation,kitchen_and_dining,train,True
could you make reservations for 2 at olive garden for 5 pm today,restaurant_reservation,kitchen_and_dining,train,True
make a reservation at 5 pm today for 2 at olive garden,restaurant_reservation,kitchen_and_dining,train,True
please make a reservation for 2 at olive garden for 5 pm today,restaurant_reservation,kitchen_and_dining,train,True
i need you to reserve a table for 6:00 pm for three at devon's seafood,restaurant_reservation,kitchen_and_dining,train,True
make a reservation for three at prime rib at 6:30 pm,restaurant_reservation,kitchen_and_dining,train,True
i would like a reservation for 6:30 pm at pietro's under the name david jones,restaurant_reservation,kitchen_and_dining,train,True
please reserve a table for two at rouge for 7:00 pm,restaurant_reservation,kitchen_and_dining,train,True
can you get me a table for two for 8:00 pm at parc,restaurant_reservation,kitchen_and_dining,train,True
i would like you to secure a 4:30 pm reservation for five people at morton's steakhouse,restaurant_reservation,kitchen_and_dining,train,True
"call and make a 5:45 pm reservation for jason rogers, table for four",restaurant_reservation,kitchen_and_dining,train,True
i need you to reserve at table for a party of four at devon's for 6:00 pm,restaurant_reservation,kitchen_and_dining,train,True
reserve a table for two for 7:30 pm at dibruno's under patrick donoghue,restaurant_reservation,kitchen_and_dining,train,True
please make a reservation at ruth's steaks for a party of five at 7:00 pm under jack arnold,restaurant_reservation,kitchen_and_dining,train,True
"can i make a reservation for 2 at state bird for 7:30, please",restaurant_reservation,kitchen_and_dining,train,True
"can i make a reservation for 2 at state bird for 8:30, please",restaurant_reservation,kitchen_and_dining,train,True
"can i make a reservation for 2 at state bird for 6:30, please",restaurant_reservation,kitchen_and_dining,train,True
"can i make a reservation for 3 at state bird for 8:30, please",restaurant_reservation,kitchen_and_dining,train,True
can i make a reservation for 2 at state bird for 8:30,restaurant_reservation,kitchen_and_dining,train,True
please make a reservation for us at joy bar for 4 adults,restaurant_reservation,kitchen_and_dining,train,True
please make me a reservation for monty's at noon for 55555,restaurant_reservation,kitchen_and_dining,train,True
"now, i need a reservation for backwoods crossing at seven for 6 people",restaurant_reservation,kitchen_and_dining,train,True
make me a reservation for tomorrow at happys for four,restaurant_reservation,kitchen_and_dining,train,True
make me a reservation for 5 at coral for 10 pm immediately,restaurant_reservation,kitchen_and_dining,train,True
can you reserve a table for 2 at red lobster at 8pm,restaurant_reservation,kitchen_and_dining,train,True
schedule me a table for 2 at red lobster at 8,restaurant_reservation,kitchen_and_dining,train,True
check reservation availability for 2 at red lobster at 8pm,restaurant_reservation,kitchen_and_dining,train,True
make a reservation for 2 at red lobster at 8pm,restaurant_reservation,kitchen_and_dining,train,True
reserve a table for 2 at red lobster at 8:00,restaurant_reservation,kitchen_and_dining,train,True
reserve a table for four for tonight at 7 at the fatted calf,restaurant_reservation,kitchen_and_dining,train,True
make a reservation for tuesday at 7:00 pm at cielo for 2,restaurant_reservation,kitchen_and_dining,train,True
savings account balance at chase bank please,balance,banking,train,True
check chase bank for my checking balance,balance,banking,train,True
what is my checking account balance at chase,balance,banking,train,True
i want my checking balance at chase,balance,banking,train,True
what's my savings balance at chase,balance,banking,train,True
do i have enough money in my chime bank account to take ashley to the movies tuesday,balance,banking,train,True
check my visa account and see if i have enough money for dinner tonight,balance,banking,train,True
is tehre enough in my bluebird account for groceries this week,balance,banking,train,True
do i have enough in my sears account to buy a new dishwasher,balance,banking,train,True
is there enough money in my discover account for a new pair of jeans,balance,banking,train,True
what is the total of my bank accounts,balance,banking,train,True
what is in my bank accounts,balance,banking,train,True
what is the balance on my bank accounts,balance,banking,train,True
what is remaining in my bank acccounts,balance,banking,train,True
how much money is left in my bank accounts,balance,banking,train,True
what amount of money is in my bank accounts,balance,banking,train,True
what is the balance of my bank accounts,balance,banking,train,True
what what kind money is available in my bank accounts,balance,banking,train,True
what is the value of my bank accounts,balance,banking,train,True
how much funds do i have in my bank accounts,balance,banking,train,True
what's my checking account balance,balance,banking,train,True
how much do i have in my checking,balance,banking,train,True
what's the balance of my savings,balance,banking,train,True
how much is in savings,balance,banking,train,True
how much money is in my checking account,balance,banking,train,True
what's the amount of money accumulated in my bank accounts,balance,banking,train,True
what's my current bank savings,balance,banking,train,True
how much total cash do i have in the bank,balance,banking,train,True
what's my current checking balance,balance,banking,train,True
can you tell me my current bank accounts balance,balance,banking,train,True
what's the balance of my bank accounts,balance,banking,train,True
what is my current balance on my home equity line of credit,balance,banking,train,True
please find my balance on my chase mastercard,balance,banking,train,True
can you tell me my checking account balance,balance,banking,train,True
perform a search for my most recent balance on my amex account,balance,banking,train,True
how much is the current balance in my td bank savings account,balance,banking,train,True
what is my balance in checking account,balance,banking,train,True
how much is available in my savings account,balance,banking,train,True
tell me what i have in my money market account,balance,banking,train,True
how much money do i have in my account,balance,banking,train,True
how much is left of mastercard,balance,banking,train,True
what is the available balance in savings,balance,banking,train,True
what is the balance on my visa,balance,banking,train,True
do i have enough money in my chase account for a new refrigerator,balance,banking,train,True
do i have enough money in my charles schwab account to get a new baseball bat,balance,banking,train,True
i'd like to know my bank balance please,balance,banking,train,True
what's the balance on my bank account,balance,banking,train,True
will the money in my capital one account cover a new washing machine,balance,banking,train,True
could you check my bank balance for me,balance,banking,train,True
will the amount in my chase bank account right now cover the cost of a new dryer,balance,banking,train,True
i want to get a new shirt; will the money in my td ameritrade account cover it,balance,banking,train,True
how much do i have in the bank,balance,banking,train,True
what's my bank balance,balance,banking,train,True
what is my bank balance,balance,banking,train,True
is there any money left,balance,banking,train,True
do i have any cash left,balance,banking,train,True
can you tell me how much cash i have,balance,banking,train,True
do i have enough in my boa account for a new pair of skis,balance,banking,train,True
do i have enough in my chase account for new nikes,balance,banking,train,True
can the funds in my wells fargo account cover my lift tickets,balance,banking,train,True
do i have enough to cover new skis in my bank of america account,balance,banking,train,True
do i have enough in my chase account for a plane ticket,balance,banking,train,True
do you know how much i have in checking,balance,banking,train,True
what is my saving's account balance,balance,banking,train,True
what's the balance in my checking,balance,banking,train,True
how much do i have in savings,balance,banking,train,True
could you tell me what my checking account balance is,balance,banking,train,True
what's my total net worth in all of my bank accounts,balance,banking,train,True
what's my account balance,balance,banking,train,True
i want to view my balance,balance,banking,train,True
check my bank balance,balance,banking,train,True
how much money do i have in all of my accounts,balance,banking,train,True
how much money do i have in all of my accounts combined,balance,banking,train,True
what's my checking balance,balance,banking,train,True
how much money do i have total,balance,banking,train,True
what's the total of my bank accounts,balance,banking,train,True
how much money do i have in checking,balance,banking,train,True
i wish to know the balance of my bank of american account,balance,banking,train,True
what is the balance of my bank of american account,balance,banking,train,True
i need to know my bank balance,balance,banking,train,True
i wanna know the balance of my bank of american account,balance,banking,train,True
i'd like to know the balance of my bank of american account,balance,banking,train,True
i wish to know the balance of my bank of american account now,balance,banking,train,True
please tell me my bank balance,balance,banking,train,True
i wanna know my bank balance,balance,banking,train,True
please let me know what my current bank balance is,balance,banking,train,True
what is status of my bank account,balance,banking,train,True
what is my balance,balance,banking,train,True
what is the balance of my bank account,balance,banking,train,True
what is is the details of my bank account,balance,banking,train,True
is there enough money in my discover account for a vacation,balance,banking,train,True
is there enough money in my account for expenses,balance,banking,train,True
do i have enough money in my first hawaiian bank account for a vacation,balance,banking,train,True
is there enough money in my bank of hawaii for vacation,balance,banking,train,True
is there enough money in my discover account for airplane tickets,balance,banking,train,True
what is my savings account balance,balance,banking,train,True
what is my savings balance,balance,banking,train,True
what is my money market account balance,balance,banking,train,True
what is my bank balance for all accounts,balance,banking,train,True
tell me my payroll account balance,balance,banking,train,True
verify that i have reservations at chilis for john doe,confirm_reservation,kitchen_and_dining,train,True
can you check my reservations for mortons under david winters,confirm_reservation,kitchen_and_dining,train,True
can you check for reservations at wongs chinese for john acer,confirm_reservation,kitchen_and_dining,train,True
check and confirm reservations at ruth chris for carol lee,confirm_reservation,kitchen_and_dining,train,True
verify that my reservations at won wons for joe lee are good,confirm_reservation,kitchen_and_dining,train,True
check on my reservation for umami at 6pm,confirm_reservation,kitchen_and_dining,train,True
"confirm a reservation for nicole brown at diangelo's at 6:45 pm, please",confirm_reservation,kitchen_and_dining,train,True
i need you to confirm that there is a reservation under the name david kramer for 7:00 pm at pietro's,confirm_reservation,kitchen_and_dining,train,True
"i would like to confirm my 7:30 pm reservation at morton's steakhouse, under michael james",confirm_reservation,kitchen_and_dining,train,True
can you please confirm that i have a 6:00 pm table reserved under michelle solomon at devon's,confirm_reservation,kitchen_and_dining,train,True
"please confirm my reservation at parc for 8:00 pm, with the name denise jack",confirm_reservation,kitchen_and_dining,train,True
please confirm my reservation for thursday at 10am,confirm_reservation,kitchen_and_dining,train,True
does it show me as having a reservation for tomorrow at 5,confirm_reservation,kitchen_and_dining,train,True
can you confirm my reservation for 6 at the outback,confirm_reservation,kitchen_and_dining,train,True
can you check that i have a reservation on february 28th for 3 in the afternoon,confirm_reservation,kitchen_and_dining,train,True
i want to make sure my reservation for 5 at mcdonalds is still set,confirm_reservation,kitchen_and_dining,train,True
i want to verify my reservation for the 18th at 1pm,confirm_reservation,kitchen_and_dining,train,True
"do i have a reservation for may 1st, 2019 at 4 pm",confirm_reservation,kitchen_and_dining,train,True
can you verify that i have a reservation at o'reilly's for 9,confirm_reservation,kitchen_and_dining,train,True
